"variable","bf_statistic","bf_p_value","bf_p_adj","bf_reject","eta_B_waba","eta_B_int","delta_eta_B","class_waba","class_iwaba","reclassified","pi_R","E_R_het_int","V_R_het"
"Probe_14709",1.4042366779784,0.160657439791383,0.169946687874151,FALSE,0.406906748346298,0.5891998772625,0.182293128916202,"Within","Within",FALSE,0.626848422683554,0.328821433010995,0.0897655232120064
"Probe_14710",6.48238925774899,4.47796466573891e-10,4.74572352128401e-09,TRUE,0.599293983958853,0.686987960461286,0.0876939765024334,"Within","Equivocal",TRUE,0.372952496544349,0.320470461700699,0.0654833990657479
"Probe_14711",2.60240681686077,0.00243065587808511,0.00359451531667106,TRUE,0.430561675538929,0.599454638659774,0.168892963120845,"Within","Within",FALSE,0.594278104289645,0.389150825567495,0.122741161055587
"Probe_14712",2.75845434850896,0.00132698894237349,0.00208341544143733,TRUE,0.45291164096714,0.609608144597487,0.156696503630347,"Within","Within",FALSE,0.563635233227334,0.43996916524829,0.153088368350322
"Probe_14713",4.11508279468176,5.76353095893545e-06,1.6911653634435e-05,TRUE,0.554370759637921,0.661255490361343,0.106884730723422,"Within","Equivocal",TRUE,0.428991668229869,0.323194398557062,0.0719874821515785
"Probe_14714",4.75893888185073,4.24526617304188e-07,1.73427544602166e-06,TRUE,0.538539059107068,0.652603947227448,0.11406488812038,"Within","Equivocal",TRUE,0.44933786560402,0.286203442101487,0.0578621030719177
"Probe_14715",3.69827857916337,3.12004633656882e-05,7.46366778027351e-05,TRUE,0.686860039024019,0.742198736550131,0.0553386975261113,"Equivocal","Equivocal",FALSE,0.27178223125358,0.300029373524799,0.047309257221102
"Probe_14716",3.06109420263627,0.000402832663610631,0.000716260911620274,TRUE,0.526145444001166,0.645983210778261,0.119837766777095,"Within","Equivocal",TRUE,0.465463406659946,0.363659499539852,0.0951550615463382
"Probe_14717",3.7012097972008,3.08327724409807e-05,7.39093901983992e-05,TRUE,0.448117498961245,0.607392432448448,0.159274933487203,"Within","Within",FALSE,0.570191288307407,0.436266254652219,0.151340339591948
"Probe_14718",6.16879810048917,1.52801638009237e-09,1.34049847697563e-08,TRUE,0.593327426469564,0.68346951675095,0.0901420902813862,"Within","Equivocal",TRUE,0.380243014204092,0.448306538432394,0.129568997270163
