"scenario","K","n","p","rep","n_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"heteroscedastic",3,500,10,44,45,0.977777777777778,0.0222222222222222,0,-0.0318220496759513,-0.0325478788813001
"heteroscedastic",3,500,10,45,45,0.977777777777778,0.0222222222222222,0,-0.0225582837081809,-0.0231041893256558
"heteroscedastic",3,500,10,46,45,0.977777777777778,0.0222222222222222,0,-0.0240159341453041,-0.0245806726852409
"heteroscedastic",3,500,10,47,45,0.977777777777778,0.0222222222222222,0,-0.02778046129887,-0.028414896412446
"heteroscedastic",3,500,10,48,45,1,0,0,-0.0181615139367311,-0.0181615139367311
"heteroscedastic",3,500,10,49,45,1,0,0,-0.0221133148096858,-0.0221133148096858
"heteroscedastic",3,500,10,50,45,1,0,0,-0.021444610492614,-0.021444610492614
"heteroscedastic",3,500,10,51,45,0.977777777777778,0.0222222222222222,0,-0.0242047107214592,-0.0248027897937473
"heteroscedastic",3,500,10,52,45,1,0,0,-0.0266920785455722,-0.0266920785455722
"heteroscedastic",3,500,10,53,45,1,0,0,-0.02663476453193,-0.02663476453193
"heteroscedastic",3,500,10,54,45,0.977777777777778,0.0222222222222222,0,-0.0275737221015661,-0.0282162127090189
"heteroscedastic",3,500,10,55,45,1,0,0,-0.0246530870110152,-0.0246530870110152
"heteroscedastic",3,500,10,56,45,1,0,0,-0.0194610383894267,-0.0194610383894267
"heteroscedastic",3,500,10,57,45,0.977777777777778,0.0222222222222222,0,-0.0216808255336742,-0.022177189832234
"heteroscedastic",3,500,10,58,45,1,0,0,-0.0215104958187545,-0.0215104958187545
"heteroscedastic",3,500,10,59,45,1,0,0,-0.0219541761247907,-0.0219541761247907
"heteroscedastic",3,500,10,60,45,0.977777777777778,0.0222222222222222,0,-0.0175135962667324,-0.0179284534429526
"heteroscedastic",3,500,10,61,45,0.955555555555556,0.0444444444444444,0,-0.0249670889851578,-0.0261485904107483
"heteroscedastic",3,500,10,62,45,0.977777777777778,0.0222222222222222,0,-0.0276868507203715,-0.0283227893131578
"heteroscedastic",3,500,10,63,45,0.977777777777778,0.0222222222222222,0,-0.0213193857791011,-0.0218078542871067
"heteroscedastic",3,500,10,64,45,0.977777777777778,0.0222222222222222,0,-0.0299806422448359,-0.0307139427848052
"heteroscedastic",3,500,10,65,45,0.955555555555556,0.0444444444444444,0,-0.0274145443755531,-0.0287674332448109
"heteroscedastic",3,500,10,66,45,1,0,0,-0.0264112790574372,-0.0264112790574372
"heteroscedastic",3,500,10,67,45,1,0,0,-0.0255909262058413,-0.0255909262058413
"heteroscedastic",3,500,10,68,45,0.933333333333333,0.0666666666666667,0,-0.0270159221386801,-0.028955887439483
"heteroscedastic",3,500,10,69,45,0.955555555555556,0.0444444444444444,0,-0.0136569403211715,-0.0143054544400609
"heteroscedastic",3,500,10,70,45,0.977777777777778,0.0222222222222222,0,-0.0219112576559901,-0.022422573535954
"heteroscedastic",3,500,10,71,45,0.955555555555556,0.0444444444444444,0,-0.0212029966690026,-0.0222107057952398
"heteroscedastic",3,500,10,72,45,1,0,0,-0.0329909080489426,-0.0329909080489426
"heteroscedastic",3,500,10,73,45,1,0,0,-0.0245834570813575,-0.0245834570813575
"heteroscedastic",3,500,10,74,45,1,0,0,-0.0232837909606608,-0.0232837909606608
"heteroscedastic",3,500,10,75,45,1,0,0,-0.0249608457984125,-0.0249608457984125
"heteroscedastic",3,500,10,76,45,1,0,0,-0.0231495650176671,-0.0231495650176671
"heteroscedastic",3,500,10,77,45,0.977777777777778,0.0222222222222222,0,-0.0180276203232543,-0.0184441138164925
"heteroscedastic",3,500,10,78,45,1,0,0,-0.0288712493609276,-0.0288712493609276
"heteroscedastic",3,500,10,79,45,1,0,0,-0.0224831088583676,-0.0224831088583676
"heteroscedastic",3,500,10,80,45,1,0,0,-0.0374926051359879,-0.0374926051359879
"heteroscedastic",3,500,10,81,45,0.955555555555556,0.0444444444444444,0,-0.0297953362265916,-0.031275803780274
"heteroscedastic",3,500,10,82,45,1,0,0,-0.0161670726263309,-0.0161670726263309
"heteroscedastic",3,500,10,83,45,1,0,0,-0.023043263488302,-0.023043263488302
"heteroscedastic",3,500,10,84,45,1,0,0,-0.0191736964369294,-0.0191736964369294
"heteroscedastic",3,500,10,85,45,0.955555555555556,0.0444444444444444,0,-0.024249335518455,-0.0253865332056639
"heteroscedastic",3,500,10,86,45,0.977777777777778,0.0222222222222222,0,-0.0205556859800983,-0.0210271571527428
"heteroscedastic",3,500,10,87,45,1,0,0,-0.0224216498265712,-0.0224216498265712
"heteroscedastic",3,500,10,88,45,0.977777777777778,0.0222222222222222,0,-0.0223433873289662,-0.0228518812584381
"heteroscedastic",3,500,10,89,45,0.911111111111111,0.0888888888888889,0,-0.0259226510106177,-0.0286817720285455
"heteroscedastic",3,500,10,90,45,0.955555555555556,0.0444444444444444,0,-0.0222171606628688,-0.0233031101735561
"heteroscedastic",3,500,10,91,45,0.977777777777778,0.0222222222222222,0,-0.0234108892128132,-0.0239520857903793
"heteroscedastic",3,500,10,92,45,0.955555555555556,0.0444444444444444,0,-0.0272463340346547,-0.0285302979250763
"heteroscedastic",3,500,10,93,45,1,0,0,-0.0215576561890692,-0.0215576561890692
"heteroscedastic",3,500,10,94,45,0.955555555555556,0.0444444444444444,0,-0.0240886593445145,-0.0252359605249809
"heteroscedastic",3,500,10,95,45,1,0,0,-0.0180232997239563,-0.0180232997239563
"heteroscedastic",3,500,10,96,45,1,0,0,-0.0227691935402317,-0.0227691935402317
"heteroscedastic",3,500,10,97,45,1,0,0,-0.0205942217648043,-0.0205942217648043
"heteroscedastic",3,500,10,98,45,1,0,0,-0.024191222334603,-0.024191222334603
"heteroscedastic",3,500,10,99,45,0.977777777777778,0.0222222222222222,0,-0.0260357226939461,-0.0266350769846723
"heteroscedastic",3,500,10,100,45,1,0,0,-0.027430928124217,-0.027430928124217
"heteroscedastic",5,500,10,1,45,0.888888888888889,0.111111111111111,0,-0.0257482418405962,-0.0299030783826282
"heteroscedastic",5,500,10,2,45,1,0,0,-0.0279023565973065,-0.0279023565973065
"heteroscedastic",5,500,10,3,45,0.933333333333333,0.0666666666666667,0,-0.0207202137398155,-0.0224525101561013
"heteroscedastic",5,500,10,4,45,0.955555555555556,0.0444444444444444,0,-0.0160590267239365,-0.0170895153990189
"heteroscedastic",5,500,10,5,45,0.977777777777778,0.0222222222222222,0,-0.0156211653185297,-0.0159809603455475
"heteroscedastic",5,500,10,6,45,0.933333333333333,0.0666666666666667,0,-0.0200316089240983,-0.0225243062862925
