eta_b_waba,eta_b_iwaba,info_gain,radius_prop,scenario,K,n,p,rep
0.6416732555110528,0.6655243044004328,1.1428520984224193,0.12499613783761758,Heteroscedastic,2,100,2,94
0.6461909435103277,0.6639423588070279,1.0924402530809745,0.08461813158227016,Heteroscedastic,2,100,2,95
0.5559190334618759,0.5900867837312638,1.1974689315960165,0.1649052650851034,Heteroscedastic,2,100,2,96
0.6780530762151202,0.6935611663026273,1.0844543103323188,0.07787724160221987,Heteroscedastic,2,100,2,97
0.6554140918926727,0.6691209371372242,1.0740001366778902,0.06890142203034384,Heteroscedastic,2,100,2,98
0.6131052315551342,0.6181451233909869,1.0274388546862394,0.026706070693246983,Heteroscedastic,2,100,2,99
0.6208964315523023,0.6461973502246747,1.106825242348576,0.0965150036892032,Heteroscedastic,2,100,5,0
0.6363282292860586,0.6623037907984716,1.1176598880407889,0.10527342825825267,Heteroscedastic,2,100,5,1
0.6960041546825462,0.7038383179097283,1.0424143514550395,0.040688572059503984,Heteroscedastic,2,100,5,2
0.667910978761987,0.6901414451233042,1.1229050417886595,0.10945274730700821,Heteroscedastic,2,100,5,3
0.6936538600896608,0.7226643964855886,1.1438242711972608,0.1257398315623409,Heteroscedastic,2,100,5,4
0.7336046082772755,0.7383826271291349,1.0254522879765418,0.02482054823512563,Heteroscedastic,2,100,5,5
0.6907190056791044,0.7041757154072924,1.0722951803421719,0.0674209692140015,Heteroscedastic,2,100,5,6
0.748774326837782,0.768452666042928,1.1013127806418892,0.09199274032109223,Heteroscedastic,2,100,5,7
0.6829944013452419,0.7018756093386732,1.0989357413560734,0.09002868651263261,Heteroscedastic,2,100,5,8
0.7263727419205572,0.7290372048983358,1.018787745416158,0.01844127542826252,Heteroscedastic,2,100,5,9
0.6790114379491402,0.7088727460724326,1.1425744970330967,0.12478354575856314,Heteroscedastic,2,100,5,10
0.6790255698863598,0.6853646340439307,1.033985492347038,0.032868442157630864,Heteroscedastic,2,100,5,11
0.6926982595136811,0.7035631717537806,1.0510942158649303,0.0486105004610701,Heteroscedastic,2,100,5,12
0.6707103945881714,0.693803265883324,1.108342909450314,0.09775215641885318,Heteroscedastic,2,100,5,13
0.6080733266045519,0.6276327694040933,1.101639688475043,0.09226218838914443,Heteroscedastic,2,100,5,14
0.6353222998897117,0.6549307189613737,1.0825787995141563,0.07627971243406617,Heteroscedastic,2,100,5,15
0.6668172306996009,0.6809679498578024,1.071464522564704,0.06669798305000668,Heteroscedastic,2,100,5,16
0.6463318112227331,0.6705699582356257,1.1044396688498759,0.09456348933811462,Heteroscedastic,2,100,5,17
0.6854010772323714,0.6964035432546397,1.0554801434368684,0.052563891212783265,Heteroscedastic,2,100,5,18
0.7098597564768603,0.7266252280466905,1.0695674511902917,0.06504260307554434,Heteroscedastic,2,100,5,19
0.7341499920000089,0.7444924304339179,1.052406471747631,0.04979679729696516,Heteroscedastic,2,100,5,20
0.6764928998311814,0.6882002734436078,1.0507487304408085,0.048297684280349557,Heteroscedastic,2,100,5,21
0.618082029783402,0.6563344251290155,1.1951201282057655,0.16326402978309754,Heteroscedastic,2,100,5,22
0.5766492058762458,0.6080670761915511,1.158907322338971,0.13711823135111043,Heteroscedastic,2,100,5,23
0.6064513954135093,0.6446071230568313,1.1705701041594765,0.14571541127983426,Heteroscedastic,2,100,5,24
0.7320908058750798,0.7393912573489196,1.0388339434171345,0.03738224348868911,Heteroscedastic,2,100,5,25
0.5767714287846387,0.6260756136625998,1.262003477864746,0.2076091567576695,Heteroscedastic,2,100,5,26
0.6303381757714638,0.6605883482623168,1.1467187693573349,0.1279466014492478,Heteroscedastic,2,100,5,27
0.6469266625480613,0.666368186266218,1.1102979725296647,0.09934087538533956,Heteroscedastic,2,100,5,28
0.7422522436577383,0.7543747429054658,1.0674170347835128,0.06315903961302795,Heteroscedastic,2,100,5,29
0.7594892538255891,0.773850638911445,1.0834478337874007,0.07702062912959329,Heteroscedastic,2,100,5,30
0.7193951932309339,0.7460654961244385,1.1142824599061651,0.10256148150782972,Heteroscedastic,2,100,5,31
0.6629371586005899,0.6877541751488779,1.107900530961393,0.09739189389841808,Heteroscedastic,2,100,5,32
0.6400396575964369,0.6541089483021532,1.0722453647076802,0.0673776423620874,Heteroscedastic,2,100,5,33
0.6471189101760195,0.6838681457392837,1.1915723687104085,0.16077275182013456,Heteroscedastic,2,100,5,34
0.6422134436395883,0.6623318342927582,1.0995901175317655,0.09057021879690397,Heteroscedastic,2,100,5,35
0.6290665492283193,0.6531232329467029,1.1213208595883988,0.1081945979609547,Heteroscedastic,2,100,5,36
0.7001817368332093,0.7190033175409345,1.085478862869111,0.07874760697152199,Heteroscedastic,2,100,5,37
0.5305578301930248,0.578767039298764,1.2345073612401847,0.18996027776181,Heteroscedastic,2,100,5,38
0.6928477688147047,0.7096521377590626,1.0634872258711956,0.059697215280783124,Heteroscedastic,2,100,5,39
0.657181239721457,0.6792743027088101,1.109975859083523,0.09907950536359164,Heteroscedastic,2,100,5,40
0.6294059910677128,0.666482272935435,1.1999722842643439,0.1666474191834681,Heteroscedastic,2,100,5,41
0.678334573222437,0.7022918545088472,1.1245642901665827,0.11076671316686652,Heteroscedastic,2,100,5,42
0.7805225623867346,0.7872081509163162,1.0366404406305028,0.03534537067473219,Heteroscedastic,2,100,5,43
0.758087495628998,0.7720439186827431,1.085468135883893,0.07873850282513964,Heteroscedastic,2,100,5,44
